agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SARSA,1,71,-243.89999999999822,0.059374999999999956,6111.0,32.0
SARSA,1,72,-241.5999999999982,0.0821428571428571,6139.0,28.0
SARSA,1,73,-240.0999999999982,0.041666666666666616,6175.0,36.0
SARSA,1,74,-237.7999999999982,0.0821428571428571,6203.0,28.0
SARSA,1,75,-236.0999999999982,0.049999999999999954,6237.0,34.0
SARSA,1,76,-234.1999999999982,0.059374999999999956,6269.0,32.0
SARSA,1,77,-232.2999999999982,0.059374999999999956,6301.0,32.0
SARSA,1,78,-230.1999999999982,0.06999999999999997,6331.0,30.0
SARSA,1,79,-227.9999999999982,0.0758620689655172,6360.0,29.0
SARSA,1,80,-225.79999999999822,0.0758620689655172,6389.0,29.0
SARSA,1,81,-223.89999999999822,0.059374999999999956,6421.0,32.0
SARSA,1,82,-221.5999999999982,0.0821428571428571,6449.0,28.0
SARSA,1,83,-221.2999999999982,0.006250000000000015,6497.0,48.0
SARSA,1,84,-219.2999999999982,0.06451612903225802,6528.0,31.0
SARSA,1,85,-218.1999999999982,0.027499999999999948,6568.0,40.0
SARSA,1,86,-216.0999999999982,0.06999999999999997,6598.0,30.0
SARSA,1,87,-213.7999999999982,0.0821428571428571,6626.0,28.0
SARSA,1,88,-211.6999999999982,0.06999999999999997,6656.0,30.0
SARSA,1,89,-209.4999999999982,0.0758620689655172,6685.0,29.0
SARSA,1,90,-208.29999999999822,0.030769230769230715,6724.0,39.0
SARSA,1,91,-207.4999999999982,0.018604651162790673,6767.0,43.0
SARSA,1,92,-205.1999999999982,0.0821428571428571,6795.0,28.0
SARSA,1,93,-203.0999999999982,0.06999999999999997,6825.0,30.0
SARSA,1,94,-200.7999999999982,0.0821428571428571,6853.0,28.0
SARSA,1,95,-198.7999999999982,0.06451612903225802,6884.0,31.0
SARSA,1,96,-197.2999999999982,0.041666666666666616,6920.0,36.0
SARSA,1,97,-195.3999999999982,0.059374999999999956,6952.0,32.0
SARSA,1,98,-193.49999999999818,0.059374999999999956,6984.0,32.0
SARSA,1,99,-191.7999999999982,0.049999999999999954,7018.0,34.0
