agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-learning,1,48,-938.4000000000026,-0.06482758620689631,11883.0,145.0
Q-learning,1,49,-948.0000000000025,-0.06530612244897935,12030.0,147.0
Q-learning,1,50,-960.1000000000025,-0.07034883720930217,12202.0,172.0
Q-learning,1,51,-961.5000000000025,-0.021538461538461433,12267.0,65.0
Q-learning,1,52,-966.6000000000025,-0.0499999999999998,12369.0,102.0
Q-learning,1,53,-972.8000000000025,-0.05486725663716793,12482.0,113.0
Q-learning,1,54,-982.8000000000025,-0.06622516556291366,12633.0,151.0
Q-learning,1,55,-987.5000000000024,-0.0479591836734692,12731.0,98.0
Q-learning,1,56,-993.6000000000024,-0.05446428571428551,12843.0,112.0
Q-learning,1,57,-998.9000000000024,-0.05096153846153827,12947.0,104.0
Q-learning,1,58,-1003.5000000000024,-0.047422680412370945,13044.0,97.0
Q-learning,1,59,-1008.5000000000024,-0.04950495049504931,13145.0,101.0
Q-learning,1,60,-1014.1000000000024,-0.052336448598130636,13252.0,107.0
Q-learning,1,61,-1017.0000000000024,-0.03624999999999985,13332.0,80.0
Q-learning,1,62,-1019.6000000000024,-0.033766233766233625,13409.0,77.0
Q-learning,1,63,-1027.2000000000023,-0.05984251968503914,13536.0,127.0
Q-learning,1,64,-1033.2000000000023,-0.05405405405405385,13647.0,111.0
Q-learning,1,65,-1034.3000000000022,-0.017741935483870878,13709.0,62.0
Q-learning,1,66,-1038.3000000000022,-0.04395604395604378,13800.0,91.0
Q-learning,1,67,-1043.0000000000023,-0.0479591836734692,13898.0,98.0
Q-learning,1,68,-1047.2000000000023,-0.04516129032258047,13991.0,93.0
Q-learning,1,69,-1055.6000000000022,-0.06222222222222199,14126.0,135.0
Q-learning,1,70,-1058.700000000002,-0.037804878048780334,14208.0,82.0
Q-learning,1,71,-1059.6000000000022,-0.014999999999999918,14268.0,60.0
Q-learning,1,72,-1065.200000000002,-0.052336448598130636,14375.0,107.0
Q-learning,1,73,-1067.800000000002,-0.033766233766233625,14452.0,77.0
Q-learning,1,74,-1071.800000000002,-0.04395604395604378,14543.0,91.0
Q-learning,1,75,-1072.100000000002,-0.005555555555555503,14597.0,54.0
Q-learning,1,76,-1073.900000000002,-0.02608695652173901,14666.0,69.0
Q-learning,1,77,-1076.800000000002,-0.03624999999999985,14746.0,80.0
Q-learning,1,78,-1080.400000000002,-0.04137931034482742,14833.0,87.0
Q-learning,1,79,-1082.0000000000018,-0.023880597014925262,14900.0,67.0
Q-learning,1,80,-1090.9000000000017,-0.06357142857142833,15040.0,140.0
Q-learning,1,81,-1089.2000000000016,0.049999999999999954,15074.0,34.0
Q-learning,1,82,-1094.4000000000017,-0.050485436893203686,15177.0,103.0
Q-learning,1,83,-1097.7000000000016,-0.039285714285714125,15261.0,84.0
Q-learning,1,84,-1101.0000000000016,-0.039285714285714125,15345.0,84.0
Q-learning,1,85,-1103.2000000000016,-0.030136986301369732,15418.0,73.0
Q-learning,1,86,-1108.7000000000016,-0.05188679245282999,15524.0,106.0
Q-learning,1,87,-1108.8000000000015,-0.001923076923076882,15576.0,52.0
Q-learning,1,88,-1107.2000000000016,0.045714285714285666,15611.0,35.0
Q-learning,1,89,-1109.7000000000016,-0.03289473684210512,15687.0,76.0
Q-learning,1,90,-1110.7000000000016,-0.016393442622950734,15748.0,61.0
Q-learning,1,91,-1112.2000000000016,-0.02272727272727262,15814.0,66.0
Q-learning,1,92,-1117.8000000000015,-0.052336448598130636,15921.0,107.0
Q-learning,1,93,-1117.7000000000016,0.0020000000000000282,15971.0,50.0
Q-learning,1,94,-1117.1000000000017,0.013333333333333326,16016.0,45.0
Q-learning,1,95,-1119.6000000000017,-0.03289473684210512,16092.0,76.0
Q-learning,1,96,-1119.8000000000018,-0.0037735849056603306,16145.0,53.0
Q-learning,1,97,-1122.1000000000017,-0.031081081081080947,16219.0,74.0
Q-learning,1,98,-1122.8000000000018,-0.012068965517241306,16277.0,58.0
Q-learning,1,99,-1125.8000000000018,-0.03703703703703688,16358.0,81.0
SARSA,0,0,-112.3999999999976,-0.09565957446808307,1175.0,1175.0
SARSA,0,1,-295.5999999999912,-0.09729155602761211,3058.0,1883.0
SARSA,0,2,-310.3999999999912,-0.07437185929648248,3257.0,199.0
SARSA,0,3,-529.1999999999828,-0.09772219740955407,5496.0,2239.0
SARSA,0,4,-548.1999999999829,-0.07883817427385921,5737.0,241.0
SARSA,0,5,-573.799999999983,-0.08338762214983766,6044.0,307.0
SARSA,0,6,-634.8999999999835,-0.09229607250755366,6706.0,662.0
SARSA,0,7,-681.899999999984,-0.09021113243762086,7227.0,521.0
SARSA,0,8,-683.1999999999839,-0.0203124999999999,7291.0,64.0
SARSA,0,9,-683.6999999999839,-0.008928571428571366,7347.0,56.0
SARSA,0,10,-682.0999999999839,0.045714285714285666,7382.0,35.0
SARSA,0,11,-679.8999999999838,0.0758620689655172,7411.0,29.0
SARSA,0,12,-676.9999999999839,0.1318181818181818,7433.0,22.0
SARSA,0,13,-674.5999999999839,0.08888888888888885,7460.0,27.0
SARSA,0,14,-675.1999999999839,-0.010526315789473616,7517.0,57.0
SARSA,0,15,-675.2999999999839,-0.001923076923076882,7569.0,52.0
SARSA,0,16,-676.399999999984,-0.017741935483870878,7631.0,62.0
SARSA,0,17,-674.899999999984,0.041666666666666616,7667.0,36.0
SARSA,0,18,-675.899999999984,-0.016393442622950734,7728.0,61.0
SARSA,0,19,-673.6999999999839,0.0758620689655172,7757.0,29.0
SARSA,0,20,-671.899999999984,0.0545454545454545,7790.0,33.0
SARSA,0,21,-670.599999999984,0.03421052631578942,7828.0,38.0
SARSA,0,22,-668.299999999984,0.0821428571428571,7856.0,28.0
SARSA,0,23,-670.3999999999841,-0.02916666666666654,7928.0,72.0
SARSA,0,24,-673.4999999999841,-0.037804878048780334,8010.0,82.0
SARSA,0,25,-671.799999999984,0.049999999999999954,8044.0,34.0
SARSA,0,26,-669.799999999984,0.06451612903225802,8075.0,31.0
SARSA,0,27,-667.8999999999841,0.059374999999999956,8107.0,32.0
SARSA,0,28,-665.5999999999841,0.0821428571428571,8135.0,28.0
SARSA,0,29,-663.2999999999842,0.0821428571428571,8163.0,28.0
SARSA,0,30,-660.7999999999842,0.09615384615384612,8189.0,26.0
SARSA,0,31,-659.1999999999841,0.045714285714285666,8224.0,35.0
SARSA,0,32,-657.6999999999841,0.041666666666666616,8260.0,36.0
SARSA,0,33,-655.5999999999841,0.06999999999999997,8290.0,30.0
SARSA,0,34,-654.1999999999841,0.037837837837837784,8327.0,37.0
SARSA,0,35,-652.2999999999842,0.059374999999999956,8359.0,32.0
SARSA,0,36,-650.2999999999842,0.06451612903225802,8390.0,31.0
SARSA,0,37,-648.7999999999842,0.041666666666666616,8426.0,36.0
SARSA,0,38,-646.8999999999842,0.059374999999999956,8458.0,32.0
SARSA,0,39,-644.3999999999842,0.09615384615384612,8484.0,26.0
SARSA,0,40,-643.5999999999842,0.018604651162790673,8527.0,43.0
SARSA,0,41,-641.9999999999842,0.045714285714285666,8562.0,35.0
SARSA,0,42,-639.0999999999842,0.1318181818181818,8584.0,22.0
SARSA,0,43,-636.9999999999842,0.06999999999999997,8614.0,30.0
SARSA,0,44,-634.9999999999842,0.06451612903225802,8645.0,31.0
SARSA,0,45,-633.1999999999842,0.0545454545454545,8678.0,33.0
SARSA,0,46,-630.6999999999842,0.09615384615384612,8704.0,26.0
SARSA,0,47,-628.6999999999842,0.06451612903225802,8735.0,31.0
SARSA,0,48,-626.1999999999842,0.09615384615384612,8761.0,26.0
SARSA,0,49,-624.5999999999842,0.045714285714285666,8796.0,35.0
SARSA,0,50,-622.5999999999842,0.06451612903225802,8827.0,31.0
SARSA,0,51,-620.5999999999842,0.06451612903225802,8858.0,31.0
SARSA,0,52,-625.6999999999842,-0.0499999999999998,8960.0,102.0
SARSA,0,53,-624.5999999999842,0.027499999999999948,9000.0,40.0
SARSA,0,54,-626.0999999999842,-0.02272727272727262,9066.0,66.0
SARSA,0,55,-624.9999999999842,0.027499999999999948,9106.0,40.0
SARSA,0,56,-623.0999999999842,0.059374999999999956,9138.0,32.0
SARSA,0,57,-620.3999999999842,0.11249999999999998,9162.0,24.0
SARSA,0,58,-621.1999999999841,-0.013559322033898227,9221.0,59.0
SARSA,0,59,-618.7999999999842,0.08888888888888885,9248.0,27.0
